"name","total","percent","code"
"Afghanistan",80.2,0.802,"AFG"
"Albania",29.8,0.298,"ALB"
"Algeria",48.2,0.482,"DZA"
"Angola",25.2,0.252,"AGO"
"Argentina",11.6,0.116,"ARG"
"Armenia",10.1,0.101,"ARM"
"Australia",3.2,0.032,"AUS"
"Austria",3,0.03,"AUT"
"Azerbaijan",28,0.28,"AZE"
"Bangladesh",28.3,0.283,"BGD"
"Belarus",4.1,0.041,"BLR"
"Belgium",2,0.02,"BEL"
"Benin",36,0.36,"BEN"
"Bhutan",68.4,0.684,"BTN"
"Bolivia",16.1,0.161,"BOL"
"Bosnia and Herzegovina",4.8,0.048,"BIH"
"Brazil",8.5,0.085,"BRA"
"Bulgaria",18.2,0.182,"BGR"
"Burkina Faso",43.5,0.435,"BFA"
"Burundi",72.9,0.729,"BDI"
"C<f4>te d'Ivoire",47.9,0.479,NA
"Cambodia",50.4,0.504,"KHM"
"Cameroon",36.1,0.361,"CMR"
"Canada",7.8,0.078,"CAN"
"Central African Republic",79.6,0.796,"CAF"
"Chad",73.5,0.735,"TCD"
"Chile",10.3,0.103,"CHL"
"China (People's Republic of)",32.7,0.327,NA
"Colombia",11.1,0.111,"COL"
"Congo",54.2,0.542,"COG"
"Costa Rica",3.5,0.035,"CRI"
"Croatia",4.4,0.044,"HRV"
"Cuba",3.9,0.039,"CUB"
"Cyprus",10.5,0.105,"CYP"
"Democratic Republic of the Congo",74.8,0.748,NA
"Denmark",0,0,"DNK"
"Dominican Republic",2,0.02,"DOM"
"Ecuador",25.2,0.252,"ECU"
"Egypt",35.7,0.357,"EGY"
"El Salvador",7.7,0.077,"SLV"
"Equatorial Guinea",52.6,0.526,"GNQ"
"Eritrea",51.4,0.514,"ERI"
"Estonia",16.9,0.169,"EST"
"Eswatini",19.9,0.199,NA
"Ethiopia",63,0.63,"ETH"
"Fiji",42.6,0.426,"FJI"
"Finland",11.2,0.112,"FIN"
"France",6.6,0.066,"FRA"
"Gabon",50.2,0.502,"GAB"
"Gambia",58.4,0.584,"GMB"
"Georgia",8.6,0.086,"GEO"
"Germany",19.6,0.196,"DEU"
"Ghana",28.3,0.283,"GHA"
"Greece",2,0.02,"GRC"
"Guatemala",11,0.11,"GTM"
"Guinea",92.1,0.921,"GIN"
"Guinea-Bissau",41.8,0.418,"GNB"
"Haiti",58.9,0.589,"HTI"
"Honduras",12.4,0.124,"HND"
"Hong Kong, China",26,0.26,NA
"Hungary",8.7,0.087,"HUN"
"India",22.1,0.221,"IND"
"Indonesia",34.5,0.345,"IDN"
"Iran",21,0.21,NA
"Iraq",54.8,0.548,"IRQ"
"Ireland",1,0.01,"IRL"
"Italy",5.3,0.053,"ITA"
"Jamaica",4.9,0.049,"JAM"
"Japan",8.9,0.089,"JPN"
"Jordan",18,0.18,"JOR"
"Kazakhstan",14.2,0.142,"KAZ"
"Kenya",41.8,0.418,"KEN"
"Korea",18.4,0.184,NA
"Kuwait",37,0.37,"KWT"
"Kyrgyzstan",32.8,0.328,"KGZ"
"Lao People's Democratic Republic",58.2,0.582,"LAO"
"Latvia",2,0.02,"LVA"
"Lebanon",43.6,0.436,"LBN"
"Lesotho",37.1,0.371,"LSO"
"Liberia",42.5,0.425,"LBR"
"Libya",25.1,0.251,"LBY"
"Lithuania",2,0.02,"LTU"
"Luxembourg",2,0.02,"LUX"
"Madagascar",45.2,0.452,"MDG"
"Malawi",16.3,0.163,"MWI"
"Malaysia",41.5,0.415,"MYS"
"Mali",72.6,0.726,"MLI"
"Malta",0,0,"MLT"
"Mauritania",26.6,0.266,"MRT"
"Mexico",5,0.05,"MEX"
"Mongolia",10.1,0.101,"MNG"
"Montenegro",2.7,0.027,"MNE"
"Morocco",22,0.22,"MAR"
"Mozambique",22.9,0.229,"MOZ"
"Myanmar",51.2,0.512,"MMR"
"Namibia",28.2,0.282,"NAM"
"Nepal",42.9,0.429,"NPL"
"Netherlands",6.4,0.064,"NLD"
"New Zealand",7.7,0.077,"NZL"
"Nicaragua",13.7,0.137,"NIC"
"Niger",59.6,0.596,"NER"
"Nigeria",34.7,0.347,"NGA"
"North Macedonia",14.5,0.145,NA
"Norway",9.9,0.099,"NOR"
"Oman",7.9,0.079,"OMN"
"Pakistan",42.2,0.422,"PAK"
"Palestinian Authority or West Bank and Gaza Strip",38.7,0.387,NA
"Panama",5.7,0.057,"PAN"
"Paraguay",22.9,0.229,"PRY"
"Peru",32.2,0.322,"PER"
"Philippines",12.9,0.129,"PHL"
"Poland",7.9,0.079,"POL"
"Portugal",2,0.02,"PRT"
"Qatar",6.6,0.066,"QAT"
"Romania",7.5,0.075,"ROU"
"Russian Federation",23.3,0.233,"RUS"
"Rwanda",41.4,0.414,"RWA"
"Senegal",56.5,56.5,"SEN"
"Serbia",3.8,3.8,"SRB"
"Sierra Leone",62.8,62.8,"SLE"
"Singapore",40.5,40.5,"SGP"
"Slovenia",15.8,15.8,"SVN"
"South Africa",61.2,61.2,"ZAF"
"Spain",9.6,9.6,"ESP"
"Sri Lanka",53.2,53.2,"LKA"
"Sudan",34,34,"SDN"
"Sweden",10.2,10.2,"SWE"
"Switzerland",15.2,15.2,"CHE"
"Tajikistan",59.6,59.6,"TJK"
"Tanzania",58,58,NA
"Thailand",8.6,8.6,"THA"
"Timor-Leste",86.2,86.2,"TLS"
"Togo",28.7,28.7,"TGO"
"Trinidad and Tobago",9.9,9.9,"TTO"
"Tunisia",18.6,18.6,"TUN"
"Turkey",13.3,13.3,"TUR"
"Turkmenistan",26.3,26.3,"TKM"
"Uganda",58.3,58.3,"UGA"
"Ukraine",2.9,2.9,"UKR"
"United Kingdom",10.2,10.2,"GBR"
"United States",11,11,"USA"
"Uruguay",1.5,1.5,"URY"
"Uzbekistan",41.5,41.5,"UZB"
"Viet Nam",28.2,28.2,"VNM"
"Yemen",48.7,48.7,"YEM"
"Zambia",46.9,46.9,"ZMB"
"Zimbabwe",38.7,38.7,"ZWE"
