"Country","Mean years of schooling","Share of seats in parliament","Women with account at financial institution or with mobile money-service provider","Homicide rate","Gender Inequality Index","HDI Group","Prevalence of violence in the lifetime","Attitudes toward violence","Laws on domestic violence","Social Institutions and Gender Index"
"Pakistan",5.158944258,20,7.025063992,3.88308273,0.538,"Medium human development",85,42.2,0.5,58.7
"Guinea",2.774225,22.80701754,19.67097473,NA,NA,"Low human development",80,92.1,0.8,56.7
"Senegal",3.183085,41.81818182,38.44960785,0.267518152,0.533,"Low human development",78,56.5,0.5,37
"Benin",3.826328,7.228915663,28.58588791,1.127497407,0.612,"Low human development",68.6,36,0.5,39.8
"Yemen",3.2,0.970873786,1.671490073,6.772149422,0.795,"Low human development",67,48.7,0.8,64
"Iran",10.34749,5.882352941,91.61125946,2.499168375,0.459,"High human development",66,21,0.8,58.3
"Bolivia (Plurinational State of)",9.017540839,51.80722892,53.85283279,6.218374444,0.417,"High human development",64.1,16.1,0.3,21.4
"Fiji",10.90163,19.60784314,NA,2.308277367,0.37,"High human development",64.1,42.6,0.8,NA
"Lesotho",6.53928325,23.02631579,46.46006012,43.56460456,0.553,"Low human development",62,37.1,0.8,38.1
"Afghanistan",3.93,27.24358974,7.160684586,6.655561152,0.655,"Low human development",60.8,80.2,0.8,52.8
"Timor-Leste",4.794383,38.46153846,NA,4.095983095,NA,"Medium human development",58.8,86.2,0.5,NA
"Equatorial Guinea",5.910863,19.18604651,NA,NA,NA,"Medium human development",56.9,52.6,1,NA
"Bangladesh",6.219339024,20.63037249,35.83634567,2.373328796,0.537,"Medium human development",53.3,28.3,0.8,54.8
"Cameroon",6.310862,29.28571429,30.0303688,1.388093415,0.56,"Medium human development",51.1,36.1,0.8,51.8
"Congo (Democratic Republic of the)",6.76008,11.98686371,24.21882248,NA,0.617,"Low human development",50.7,74.8,0.8,39.5
"Uganda",6.171951533,34.8583878,52.70641327,10.52446028,0.535,"Low human development",49.9,58.3,0.8,45.1
"Gabon",8.698,17.94871795,53.70412445,NA,0.525,"High human development",48.6,50.2,0.8,40.1
"Burundi",3.287982742,38.75,6.726228237,6.054537366,0.504,"Low human development",46.7,72.9,0.5,NA
"Moldova",11.70817,25.74257426,44.55144882,4.096792902,0.204,"High human development",45.5,11.2,0.3,21.4
"Sierra Leone",3.7,12.32876712,15.35897541,1.728967838,0.644,"Low human development",45.3,62.8,0.5,47.6
"Thailand",7.9391,14.13333333,79.78010559,2.582003648,0.359,"High human development",44.2,8.6,0.8,35.5
"Zambia",7.152016,17.96407186,40.27887726,5.371749635,0.539,"Medium human development",42.7,46.9,0.5,34.8
"Tanzania",6.122,36.8956743,42.15222168,6.48265759,0.556,"Low human development",41.7,58,0.8,46.1
"Kenya",6.564,23.26139089,77.74636841,4.928728024,0.518,"Medium human development",39.4,41.8,0.5,35.5
"Liberia",4.806,11.65048544,28.16200256,NA,0.65,"Low human development",38.5,42.5,0.8,47.5
"Turkey",8.10682,17.44966443,54.29382324,2.590475672,0.306,"Very high human development",38,13.3,0.3,25.1
"Ecuador",8.907169486,37.95620438,42.6063385,5.800627346,0.384,"High human development",37.5,25.2,0.5,28.9
"Malawi",4.73,22.91666667,29.84548759,NA,0.565,"Low human development",37.5,16.3,0.5,41.4
"Colombia",8.46873,19.56521739,42.47443008,25.3438026,0.428,"High human development",37.4,11.1,0.3,15
"Costa Rica",8.74194,45.61403509,60.87906265,11.2612545,0.288,"Very high human development",36,3.5,0.8,27.9
"United States",13.41344,23.72881356,92.68624878,4.956950548,0.204,"Very high human development",35.6,11,0.5,17.9
"Zimbabwe",8.4668,34.57142857,51.66492462,NA,0.527,"Medium human development",35.4,38.7,0.5,32.4
"New Zealand",12.78207732,40.83333333,99.34078217,0.744359509,0.123,"Very high human development",35,7.7,0.8,16.7
"Angola",5.173993233,30,22.33164597,NA,0.536,"Medium human development",34.8,25.2,0.8,NA
"Mali",2.352954412,9.523809524,25.71192169,NA,0.671,"Low human development",34.6,72.6,0.8,46
"Rwanda",4.417150539,55.66037736,44.96050262,2.577168608,0.402,"Low human development",34.4,41.4,0.5,27.6
"Viet Nam",8.32,26.72064777,30.41970062,NA,0.296,"High human development",34.4,28.2,0.8,25.3
"Brazil",7.9813,14.98316498,67.51464844,27.38253029,0.408,"High human development",33.5,8.5,0.3,21.2
"Peru",9.69633,30,34.435215,7.909223863,0.395,"High human development",33.2,32.2,0.8,24.5
"Myanmar",5.034490583,11.56773212,25.97871208,2.258451326,0.478,"Medium human development",33,51.2,0.8,42.4
"Denmark",12.61380326,39.10614525,100,1.008321959,0.038,"Very high human development",32,0,0.5,10.4
"Latvia",13.03085,30,92.54244232,4.355804966,0.176,"Very high human development",32,2,0.8,17.8
"Mongolia",10.2512725,17.33333333,94.95379639,6.182547929,0.322,"High human development",31.2,10.1,0.3,20
"Trinidad and Tobago",11.034,32.87671233,73.6030426,30.64950684,0.323,"High human development",30.2,9.9,0.8,23.5
"Finland",12.82413,47,99.58627319,1.629671612,0.047,"Very high human development",30,11.2,0.8,15.3
"Madagascar",6.1,16.90140845,16.31496811,NA,NA,"Low human development",30,45.2,0.5,47.5
"Morocco",5.648,18.44660194,16.80644608,1.415522885,0.454,"Medium human development",30,22,0.8,50.8
"Central African Republic",4.282,8.571428571,9.717617035,20.12040065,0.68,"Low human development",29.8,79.6,0.3,43.4
"United Kingdom",13.24287,28.90896456,96.07344055,1.204914777,0.118,"Very high human development",29,10.2,0.8,17.5
"India",6.5,13.48600509,76.63963318,3.079232442,0.488,"Medium human development",28.7,22.1,0.5,34
"Chad",2.52368,14.88095238,14.85025883,NA,0.71,"Low human development",28.6,73.5,0.8,45.4
"Ethiopia",2.883189,37.28571429,29.07543182,NA,0.517,"Low human development",28,63,0.5,29.6
"Sweden",12.54847,47.27793696,100,1.083072677,0.039,"Very high human development",28,10.2,0.3,10.5
"North Macedonia",9.812715,39.16666667,72.88609314,1.200216807,0.143,"High human development",27.7,14.5,0.8,18
"Norway",12.89775,40.82840237,100,0.468343712,0.045,"Very high human development",27,9.9,0.3,14.5
"Bhutan",4.0738,15.27777778,27.68187904,1.193007386,0.421,"Medium human development",26.5,68.4,0.5,NA
"El Salvador",6.907268,30.95238095,24.37995911,52.01892617,0.383,"Medium human development",26.3,7.7,0.5,22.9
"France",11.4795,36.86486486,91.28713226,1.198636503,0.049,"Very high human development",26,6.6,0.3,11.1
"Côte d'Ivoire",5.288,13.27683616,35.56497955,NA,0.638,"Low human development",25.9,47.9,0.8,42.8
"Kyrgyzstan",11.10481377,19.16666667,38.85499954,2.189077613,0.369,"Medium human development",25.4,32.8,0.8,23.2
"Belarus",12.30584324,34.93975904,81.33817291,2.39087279,0.118,"Very high human development",25,4.1,0.8,20.6
"Namibia",6.99,36.95652174,80.66267395,NA,0.44,"Medium human development",25,28.2,0.3,27.1
"Nepal",5.014,33.53293413,41.60002136,2.299783996,0.452,"Medium human development",25,42.9,0.3,36.2
"Netherlands",12.4148,33.77777778,99.83270264,0.58618159,0.043,"Very high human development",25,6.4,0.8,16.1
"Albania",10.14573,29.50819672,38.10295868,2.289492444,0.181,"High human development",24.6,29.8,0.5,22.6
"Ghana",7.306,13.09090909,53.72341919,2.091241017,0.538,"Medium human development",24.4,28.3,0.8,34.5
"Belgium",12.05027,43.33333333,98.81755066,1.690054215,0.043,"Very high human development",24,2,0.5,11.2
"Lithuania",13.07721,21.27659574,81.01387024,4.569356042,0.124,"Very high human development",24,2,0.5,15.6
"Romania",11.0708,19.56989247,53.59091949,1.281649699,0.276,"Very high human development",24,7.5,0.3,16.6
"Serbia",11.19411,37.65182186,70.12700653,1.226890579,0.132,"Very high human development",23.7,3.8,0.3,19.8
"Jordan",10.518,15.38461538,26.61338997,1.359106628,0.45,"High human development",23.6,18,0.8,57.3
"Bulgaria",11.36009,25.83333333,73.63685608,1.304666594,0.206,"Very high human development",23,18.2,0.8,23.4
"Nicaragua",6.912,44.56521739,24.79252815,7.185947903,0.428,"Medium human development",22.5,13.7,0.3,18.6
"Iceland",12.77278684,38.0952381,NA,0.890969137,0.058,"Very high human development",22.4,NA,0.3,NA
"Togo",4.949925584,16.48351648,37.59315491,NA,0.573,"Low human development",22.1,28.7,0.8,49.5
"Germany",14.15168,31.61953728,99.19924927,0.947976619,0.084,"Very high human development",22,19.6,0.8,15
"Luxembourg",12.31145,25,98.17749023,0.337886923,0.065,"Very high human development",22,2,0.8,NA
"Mozambique",3.540898438,41.2,32.87394714,NA,0.523,"Low human development",21.7,22.9,0.8,24.3
"Honduras",6.573452,21.09375,40.95068741,38.9255911,0.423,"Medium human development",21.6,12.4,0.3,22.4
"Iraq",7.316,25.22796353,19.50482178,10.07025321,0.577,"Medium human development",21.2,54.8,0.8,53.7
"Hungary",11.96329,12.56281407,72.15751648,2.487198635,0.233,"Very high human development",21,8.7,0.8,25.7
"Cambodia",4.966,19.2513369,21.52639389,NA,0.474,"Medium human development",20.9,50.4,0.5,29.5
"Haiti",5.592369636,2.739726027,30.04561424,6.67974266,0.636,"Low human development",20.8,58.9,0.8,39.9
"South Africa",10.24064634,45.33333333,69.98981476,36.39917415,0.406,"High human development",20.6,61.2,0.5,22.4
"Dominican Republic",8.123720269,24.32432432,54.14283752,10.04973395,0.455,"High human development",20.4,2,0.3,18.2
"Tajikistan",10.7337,20,42.13079453,NA,0.314,"Medium human development",20.3,59.6,0.8,32.4
"Tunisia",7.22022,22.58064516,28.36343575,NA,0.296,"High human development",20.3,18.6,0.5,47.6
"Gambia",3.922,10.34482759,NA,NA,0.612,"Low human development",20.1,58.4,0.5,NA
"Estonia",13.14306146,29.7029703,98.37523651,2.116541299,0.086,"Very high human development",20,16.9,0.3,14.1
"Jamaica",9.73305,19.04761905,77.7620163,43.85228153,0.396,"High human development",19.7,4.9,0.8,24.7
"Russia",12.17244258,16.4516129,76.13137054,8.209475626,0.225,"Very high human development",19.6,23.3,1,22.3
"Greece",10.55207,20.66666667,84.53689575,0.940863945,0.116,"Very high human development",19,2,0.3,27.1
"Italy",10.37955,35.26315789,91.62443542,0.569050661,0.069,"Very high human development",19,5.3,0.8,13.5
"Portugal",9.26347,38.69565217,90.62212372,0.789766806,0.075,"Very high human development",19,2,0.3,11.2
"Indonesia",8.16668,17.39130435,51.35491943,0.434534589,0.48,"High human development",18.3,34.5,0.8,41.6
"Guatemala",6.62261,19.375,42.08628082,22.50134872,0.479,"Medium human development",18,11,0.8,28.6
"Paraguay",8.53508,16.8,46.04944992,7.144839995,0.446,"High human development",17.9,22.9,0.5,32.8
"Australia",12.72469119,36.56387665,99.19509125,0.891632403,0.097,"Very high human development",16.9,3.2,0.8,16.1
"Philippines",9.393091398,28.04878049,38.85416412,6.464988165,0.43,"High human development",16.9,12.9,0.8,52.8
"Sri Lanka",10.63257,5.333333333,73.44207001,2.421243634,0.401,"High human development",16.6,53.2,0.5,43
"Kazakhstan",11.8949,22.07792208,60.28655243,5.06083427,0.19,"Very high human development",16.5,14.2,0.8,22.5
"Korea",12.21376462,16.66666667,94.68531036,0.603849393,0.064,"Very high human development",16.5,18.4,0.3,23.4
"Nigeria",6.65519163,4.112554113,27.27667618,34.5240459,NA,"Low human development",16.2,34.7,0.8,46
"Japan",12.85,14.50704225,98.06467438,0.262574096,0.094,"Very high human development",15.4,8.9,0.8,24
"Lao People's Democratic Republic",5.288,27.51677852,31.87420273,NA,0.459,"Medium human development",15.3,58.2,0.3,26.2
"Cyprus",12.17123,17.85714286,90.01422119,1.261286411,0.086,"Very high human development",15,10.5,0.3,28.3
"Ireland",12.6663305,24.31192661,95.30703735,0.87160546,0.093,"Very high human development",15,1,0.3,17.1
"Malta",11.32613,14.92537313,96.96466064,1.593607358,0.175,"Very high human development",15,0,0.3,21.5
"Uruguay",8.92573,20.93023256,60.62883759,12.06045302,0.288,"Very high human development",14.8,1.5,0.8,22.2
"Mexico",8.75461,48.40764331,33.28747559,29.07106163,0.322,"High human development",14.1,5,0.5,29
"Azerbaijan",10.57543,16.80672269,27.71962547,2.201107449,0.323,"High human development",13.5,28,0.8,28.7
"Ukraine",11.39749842,20.51886792,61.32117462,6.183730571,0.234,"High human development",13.2,2.9,0.8,21
"Bosnia and Herzegovina",9.81787,21.05263158,54.7417984,1.17331026,0.149,"High human development",13.1,4.8,0.5,21.8
"Austria",12.5461436,38.52459016,98.37577057,0.967228608,0.069,"Very high human development",13,3,0.3,11.7
"Croatia",11.44932,20.52980132,82.69694519,0.577421797,0.116,"Very high human development",13,4.4,0.3,19.3
"Poland",12.47232,27.85714286,87.96221924,0.7304547,0.115,"Very high human development",13,7.9,0.8,17.4
"Slovenia",12.65874,22.30769231,96.93920898,0.481269937,0.063,"Very high human development",13,15.8,0.3,12.9
"Spain",10.25178,41.85667752,91.64125061,0.621079928,0.07,"Very high human development",13,9.6,0.5,14.3
"Burkina Faso",1.644298557,13.38582677,34.4989357,1.25044052,0.594,"Low human development",11.5,43.5,0.8,32.4
"Lebanon",8.718636,4.6875,32.90546417,2.492926503,0.411,"High human development",10.4,43.6,0.8,56.2
"Switzerland",13.38081241,38.61788618,98.85665131,0.586468024,0.025,"Very high human development",9.8,15.2,0.8,8.1
"Hong Kong, China (SAR)",12.27996,NA,94.7024231,0.651136341,NA,"Very high human development",9.4,26,0.8,21.2
"Armenia",11.30174,23.48484848,40.90643692,1.693915557,0.245,"High human development",8.2,10.1,0.8,27.8
"Chile",10.58295,22.72727273,71.27378845,4.404894484,0.247,"Very high human development",6.7,10.3,0.8,36.1
"Georgia",13.13296,14.76510067,63.61225891,2.223362494,0.331,"Very high human development",6.1,8.6,0.8,24.8
"Singapore",11.62461,23,96.31292725,0.156317765,0.065,"Very high human development",6.1,40.5,0.5,27
"Canada",13.36610479,33.18284424,99.85279846,1.755921136,0.08,"Very high human development",1.9,7.8,0.3,18.3
